date,time,people
2020-02-12,13,12979
2020-02-12,14,12221
2020-02-12,15,11597
2020-02-12,16,13085
2020-02-12,17,21580
2020-02-12,18,27558
2020-02-12,19,17936
2020-02-12,20,12416
2020-02-12,21,12055
2020-02-12,22,11461
2020-02-12,23,3496
2020-02-13,0,1177
2020-02-13,1,15
2020-02-13,5,0
2020-02-13,6,3186
2020-02-13,7,10725
2020-02-13,8,22276
2020-02-13,9,13433
2020-02-13,10,10288
2020-02-13,11,10977
2020-02-13,12,12569
2020-02-13,13,13066
2020-02-13,14,11921
2020-02-13,15,12023
2020-02-13,16,13725
2020-02-13,17,21986
2020-02-13,18,28610
2020-02-13,19,18032
2020-02-13,20,12293
2020-02-13,21,12034
2020-02-13,22,11114
2020-02-13,23,3397
2020-02-14,0,1621
2020-02-14,1,31
2020-02-14,5,0
2020-02-14,6,3306
2020-02-14,7,10476
2020-02-14,8,21859
2020-02-14,9,13870
2020-02-14,10,10968
2020-02-14,11,11812
2020-02-14,12,13801
2020-02-14,13,14787
2020-02-14,14,13733
2020-02-14,15,14489
2020-02-14,16,17200
2020-02-14,17,26425
2020-02-14,18,32574
2020-02-14,19,21971
2020-02-14,20,14622
2020-02-14,21,14217
2020-02-14,22,14426
2020-02-14,23,5292
2020-02-15,0,1671
2020-02-15,1,39
2020-02-15,5,0
2020-02-15,6,3174
2020-02-15,7,8368
2020-02-15,8,18400
2020-02-15,9,12372
2020-02-15,10,11389
2020-02-15,11,13136
2020-02-15,12,15424
2020-02-15,13,16257
2020-02-15,14,14563
2020-02-15,15,14698
2020-02-15,16,16063
2020-02-15,17,23142
2020-02-15,18,27250
2020-02-15,19,17287
2020-02-15,20,13086
2020-02-15,21,13448
2020-02-15,22,13547
2020-02-15,23,5039
2020-02-16,0,1284
2020-02-16,1,27
2020-02-16,5,2
2020-02-16,6,2451
2020-02-16,7,4109
2020-02-16,8,9063
2020-02-16,9,9960
2020-02-16,10,11345
2020-02-16,11,13158
2020-02-16,12,14921
2020-02-16,13,16511
2020-02-16,14,16346
2020-02-16,15,16306
2020-02-16,16,17673
2020-02-16,17,21132
2020-02-16,18,18252
2020-02-16,19,15936
2020-02-16,20,14988
2020-02-16,21,13465
2020-02-16,22,9838
2020-02-16,23,3996
2020-02-17,0,1089
2020-02-17,1,11
2020-02-17,5,0
2020-02-17,6,3736
2020-02-17,7,10974
2020-02-17,8,23071
2020-02-17,9,13837
2020-02-17,10,10632
2020-02-17,11,10577
2020-02-17,12,11809
2020-02-17,13,12332
2020-02-17,14,11550
2020-02-17,15,11086
2020-02-17,16,12679
2020-02-17,17,20656
2020-02-17,18,27132
2020-02-17,19,17029
2020-02-17,20,11676
2020-02-17,21,11003
2020-02-17,22,11281
2020-02-17,23,3367
2020-02-18,0,1063
2020-02-18,1,19
2020-02-18,5,0
2020-02-18,6,3320
2020-02-18,7,10536
2020-02-18,8,22105
2020-02-18,9,13565
2020-02-18,10,10041
2020-02-18,11,10310
2020-02-18,12,12145
2020-02-18,13,12424
2020-02-18,14,12000
2020-02-18,15,11531
2020-02-18,16,12905
2020-02-18,17,20735
2020-02-18,18,27237
2020-02-18,19,17406
2020-02-18,20,11843
2020-02-18,21,11291
2020-02-18,22,10995
2020-02-18,23,3034
2020-02-19,0,1058
2020-02-19,1,18
2020-02-19,5,0
2020-02-19,6,3284
2020-02-19,7,10828
2020-02-19,8,22257
2020-02-19,9,14004
2020-02-19,10,10479
2020-02-19,11,10734
2020-02-19,12,12149
2020-02-19,13,12720
2020-02-19,14,11902
2020-02-19,15,11676
2020-02-19,16,12934
2020-02-19,17,20712
2020-02-19,18,27353
2020-02-19,19,17312
2020-02-19,20,11829
2020-02-19,21,11663
2020-02-19,22,11150
2020-02-19,23,3435
2020-02-20,0,1158
2020-02-20,1,20
2020-02-20,5,1
2020-02-20,6,3268
2020-02-20,7,10689
2020-02-20,8,21960
2020-02-20,9,14016
2020-02-20,10,10310
2020-02-20,11,10375
2020-02-20,12,12042
2020-02-20,13,12615
2020-02-20,14,11880
2020-02-20,15,12059
2020-02-20,16,13174
2020-02-20,17,20990
2020-02-20,18,27932
2020-02-20,19,17758
2020-02-20,20,11955
2020-02-20,21,11662
2020-02-20,22,11373
2020-02-20,23,3399
2020-02-21,0,1560
2020-02-21,1,39
2020-02-21,5,0
2020-02-21,6,3368
2020-02-21,7,10443
2020-02-21,8,21765
2020-02-21,9,13642
2020-02-21,10,10642
2020-02-21,11,11001
2020-02-21,12,13406
2020-02-21,13,13481
2020-02-21,14,12901
2020-02-21,15,13123
2020-02-21,16,15027
2020-02-21,17,25176
2020-02-21,18,33247
2020-02-21,19,22307
2020-02-21,20,15182
2020-02-21,21,14408
2020-02-21,22,14691
2020-02-21,23,4712
2020-02-22,0,1525
2020-02-22,1,30
2020-02-22,5,2
2020-02-22,6,3103
2020-02-22,7,5689
2020-02-22,8,11209
2020-02-22,9,12015
2020-02-22,10,12517
2020-02-22,11,14637
2020-02-22,12,16518
2020-02-22,13,17839
2020-02-22,14,16332
2020-02-22,15,16325
2020-02-22,16,16908
2020-02-22,17,21304
2020-02-22,18,18801
2020-02-22,19,13762
2020-02-22,20,12089
2020-02-22,21,12743
2020-02-22,22,12413
2020-02-22,23,5015
2020-02-23,0,1490
2020-02-23,1,22
2020-02-23,5,0
2020-02-23,6,2450
2020-02-23,7,3812
2020-02-23,8,7993
2020-02-23,9,9192
2020-02-23,10,10109
2020-02-23,11,12135
2020-02-23,12,14106
2020-02-23,13,15376
2020-02-23,14,14875
2020-02-23,15,14951
2020-02-23,16,16708
2020-02-23,17,20331
